1|1
2|32
3|803
4|11
6|0
7|0
8|0
9|0
10|81
11|96
12|100
13|0
14|0
15|0
16|152
17|1040
18|213
19|0
20|169
21|180
22|0
23|324
24|230
25|253
27|258
28|285
29|288
30|0
31|319
32|300
33|318
34|312
35|323
36|361
37|351
38|372
39|384
40|150
41|406
42|0
43|407
44|0
45|433
47|0
48|0
49|773
50|472
51|0
52|544
53|530
54|0
55|0
56|0
57|540
58|591
59|564
60|609
61|603
62|633
63|625
64|647
65|1963
66|665
67|702
68|0
69|0
70|725
71|758
72|739
73|0
74|0
75|0
76|23
77|788
78|806
79|0
80|825
81|840
82|818
83|860
84|864
85|915
86|0
87|900
88|0
89|0
90|0
91|957
92|988
93|0
94|1012
95|1026
96|0
97|0
98|0
99|274
100|1055
101|1080
102|1091
103|1069
111|1152
105|1075
113|0
108|1077
109|1078
110|0
112|0
114|53
115|142
116|0
117|0
118|0
119|0
120|0
121|0
122|0
123|1293
124|0
125|1312
126|1365
127|0
237|2725
129|0
130|1480
131|553
132|462
133|0
134|122
135|1610
136|1470
137|1573
150|0
149|2160
151|357
152|1684
153|90
154|1288
155|1499
156|0
157|381
158|1520
159|0
160|0
161|2514
162|0
163|71
164|2728
165|1678
166|0
167|1707
168|654
169|1726
170|1946
173|0
174|147
175|0
176|465
177|0
178|761
179|308
180|0
181|0
184|231
185|231
186|1973
187|2340
188|3319
189|2246
190|2017
191|2306
192|429
193|291
239|408
195|248
196|9
197|2055
198|0
199|2490
200|720
201|26
202|424
203|161
205|1450
206|3582
207|3006
208|2290
209|896
210|77
211|790
212|1106
213|2428
214|2346
215|2288
216|528
217|772
218|865
219|1119
220|922
221|1535
222|2503
223|1126
224|1346
225|1021
226|349
227|1483
228|1353
229|2315
230|275
246|1034
232|877
233|420
234|1104
235|837
236|1436
238|1028
247|1477
241|1061
242|783
243|2362
244|137
245|1492
248|200
249|1646
250|2137
251|414
252|3101
253|1096
254|1643
255|2073
256|743
257|1105
258|3223
259|1978
260|891
261|532
262|1270
263|558
264|3326
266|763
267|2592
268|550
269|666
270|1477
271|1844
272|3207
273|886
274|1629
275|1753
276|1456
277|78
278|2010
279|276
280|1025
281|1016
282|1542
283|2640
284|1663
285|440
286|1337
287|2919
288|444
289|1863
290|1648
291|3395
292|2853
293|633
294|1268
295|3514
296|511
297|3448
298|1986
299|3538
343|192
301|874
302|2097
303|2094
304|547
305|3498
306|1669
307|1467
308|2349
309|1155
350|1851
311|3620
312|216
313|1794
314|757
315|1103
316|1791
317|1318
318|608
319|3140
320|2034
321|63
322|2472
323|3621
324|342
325|2142
326|2719
327|1350
328|3626
329|1894
330|2621
331|1633
332|2236
333|1955
334|0
335|1101
336|3
337|1159
338|1291
339|114
340|2921
341|923
342|3932
346|1536
345|816
347|836
348|1910
349|1361
351|3769
352|1451
353|3376
354|624
355|665
362|0
357|0
358|0
359|2145
363|0
366|0
365|0
367|0
368|652
369|0
370|0
371|545
372|1641
373|3411
374|692
375|422
376|3695
377|476
378|2
379|3265
END
